negative_keyword;match_type;category;reason;date_added
praca;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
pracy;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
prace;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
zatrudnienie;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
staz;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
staż;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
stazu;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
praktyki;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
asystent;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
asystentka;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
oferty pracy;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
zlecenia;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
zlecenie;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
zarobki;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
ile zarabia;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
jak zostać;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
jak zostac;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
kurs;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
kursu;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
kursy;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
szkolenie;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
szkolenia;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
szkoła;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
szkola;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
studia;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
warsztaty;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
warsztat;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
lekcje;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
nauka;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
akademia;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
dyplom;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
certyfikat;BROAD;praca i nauka;Intencja: szukanie pracy lub nauki zawodu, nie zakupu uslugi.;2026-09-20
tutorial;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
poradnik;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
poradniki;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
jak zrobić;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
jak zrobic;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
jak pozować;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
jak pozowac;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
jak wybrać;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
jak wybrac;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
porady;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
instrukcja;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
krok po kroku;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
co to jest;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
definicja;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
blog;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
forum;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
wikipedia;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
youtube;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
pomysły;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
pomysly;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
inspiracje;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
inspiracja;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
pinterest;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
przykłady;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
przyklady;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
co założyć;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
co zalozyc;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
strój;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
stroj;BROAD;poradniki i tutoriale;Intencja informacyjna, nie zakupowa.;2026-09-20
